11/11/2015 10:52 - FRANCISCO | ID = 7031 | CI = 13870 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.90
11/11/2015 10:58 - FRANCISCO | ID =  | CI = 13872 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.96
11/11/2015 10:58 - FRANCISCO | ID =  | CI = 13872 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.50
13/11/2015 12:39 - VALDINEI | ID =  | CI = 13902 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
14/11/2015 09:36 - ROBSONMANFRIM | ID =  | CI = 13904 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 109.25
14/11/2015 09:36 - ROBSONMANFRIM | ID =  | CI = 13904 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
14/11/2015 09:36 - ROBSONMANFRIM | ID =  | CI = 13904 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 14.00
14/11/2015 09:36 - ROBSONMANFRIM | ID =  | CI = 13904 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
16/11/2015 07:39 - KLEBER | ID =  | CI = 13906 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
16/11/2015 07:39 - KLEBER | ID =  | CI = 13906 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
16/11/2015 07:39 - KLEBER | ID =  | CI = 13906 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.00
16/11/2015 07:39 - KLEBER | ID =  | CI = 13906 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
16/11/2015 07:39 - KLEBER | ID =  | CI = 13906 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
16/11/2015 07:39 - KLEBER | ID =  | CI = 13906 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
16/11/2015 08:56 - FRANCISCO | ID =  | CI = 13911 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 45.80
16/11/2015 08:56 - FRANCISCO | ID =  | CI = 13911 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.50
16/11/2015 09:09 - FRANCISCO | ID =  | CI = 13912 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.77
16/11/2015 09:09 - FRANCISCO | ID =  | CI = 13912 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 45.80
16/11/2015 09:09 - FRANCISCO | ID =  | CI = 13912 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
17/11/2015 07:23 - JENS | ID =  | CI = 13926 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 184.60
17/11/2015 10:11 - SANDRA | ID =  | CI = 13929 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 88.60
17/11/2015 13:43 - BRUNOFAZOLO | ID =  | CI = 13935 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 123.01
17/11/2015 13:43 - BRUNOFAZOLO | ID =  | CI = 13935 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
17/11/2015 13:43 - BRUNOFAZOLO | ID =  | CI = 13935 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
17/11/2015 13:43 - BRUNOFAZOLO | ID =  | CI = 13935 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
17/11/2015 13:43 - BRUNOFAZOLO | ID =  | CI = 13935 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
17/11/2015 13:43 - BRUNOFAZOLO | ID =  | CI = 13935 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
