09/01/2017 09:40 - REGI | ID =  | CI = 18901 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 156.45
09/01/2017 09:40 - REGI | ID =  | CI = 18901 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 50.00
10/01/2017 08:00 - ANGELO | ID =  | CI = 18913 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.00
10/01/2017 08:19 - ANGELO | ID =  | CI = 18914 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
10/01/2017 14:33 - REGI | ID =  | CI = 18933 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 27.40
10/01/2017 14:50 - STEFANIAESTEVO | ID =  | CI = 18934 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 136.35
12/01/2017 10:54 - ANGELO | ID =  | CI = 18977 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.80
12/01/2017 11:00 - ANGELO | ID =  | CI = 18978 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
12/01/2017 11:46 - FRANCISCO | ID =  | CI = 18979 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
12/01/2017 11:46 - FRANCISCO | ID =  | CI = 18979 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 3.00
13/01/2017 10:17 - FRANCISCO | ID =  | CI = 18991 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 321.66
13/01/2017 10:17 - FRANCISCO | ID =  | CI = 18991 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
13/01/2017 10:17 - FRANCISCO | ID =  | CI = 18991 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 147.02
13/01/2017 10:17 - FRANCISCO | ID =  | CI = 18991 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
13/01/2017 10:21 - FRANCISCO | ID =  | CI = 18992 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 7.80
13/01/2017 13:32 - FRANCISCO | ID =  | CI = 18997 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 190.22
13/01/2017 13:32 - FRANCISCO | ID =  | CI = 18997 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.50
16/01/2017 12:33 - PARDAL | ID =  | CI = 19007 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 86.70
16/01/2017 13:52 - ANGELO | ID =  | CI = 19012 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
16/01/2017 13:56 - ANGELO | ID = 15369 | CI = 19012 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
16/01/2017 14:00 - ANGELO | ID =  | CI = 19013 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
16/01/2017 14:06 - ANGELO | ID =  | CI = 19014 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.80
16/01/2017 14:36 - KLEBER | ID =  | CI = 19015 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
16/01/2017 14:36 - KLEBER | ID =  | CI = 19015 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
16/01/2017 14:36 - KLEBER | ID =  | CI = 19015 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 31.50
16/01/2017 14:36 - KLEBER | ID =  | CI = 19015 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
16/01/2017 14:36 - KLEBER | ID =  | CI = 19015 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
16/01/2017 14:36 - KLEBER | ID =  | CI = 19015 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
