08/05/2017 07:38 - KLEBER | ID =  | CI = 20495 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
08/05/2017 07:38 - KLEBER | ID =  | CI = 20495 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 334.26
08/05/2017 07:38 - KLEBER | ID =  | CI = 20495 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 44.00
08/05/2017 07:38 - KLEBER | ID =  | CI = 20495 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 172.40
08/05/2017 07:38 - KLEBER | ID =  | CI = 20495 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 900.00
08/05/2017 07:40 - GUSTAVOMELGES | ID =  | CI = 20496 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 566.72
08/05/2017 07:40 - GUSTAVOMELGES | ID =  | CI = 20496 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 124.00
08/05/2017 08:32 - FRANCISCO | ID =  | CI = 20497 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 84.09
08/05/2017 08:32 - FRANCISCO | ID =  | CI = 20497 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 95.33
08/05/2017 09:15 - FRANCISCO | ID =  | CI = 20500 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 58.59
08/05/2017 09:15 - FRANCISCO | ID =  | CI = 20500 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 86.65
08/05/2017 09:15 - FRANCISCO | ID =  | CI = 20500 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 10.00
08/05/2017 09:19 - SANDRA | ID =  | CI = 20501 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 60.00
08/05/2017 09:19 - SANDRA | ID =  | CI = 20501 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 16.20
08/05/2017 09:19 - SANDRA | ID =  | CI = 20501 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 303.90
08/05/2017 09:19 - SANDRA | ID =  | CI = 20501 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 40.00
08/05/2017 09:41 - OSVALDOFLORES | ID =  | CI = 20503 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 770.00
08/05/2017 09:41 - OSVALDOFLORES | ID =  | CI = 20503 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 131.00
08/05/2017 09:41 - OSVALDOFLORES | ID =  | CI = 20503 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 156.00
08/05/2017 09:41 - OSVALDOFLORES | ID =  | CI = 20503 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/05/2017 09:41 - OSVALDOFLORES | ID =  | CI = 20503 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
08/05/2017 09:41 - OSVALDOFLORES | ID =  | CI = 20503 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
08/05/2017 13:36 - REGI | ID =  | CI = 20510 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 11.00
08/05/2017 16:44 - THAISMAGALHAES | ID = 17308 | CI = 20492 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 71.37
08/05/2017 16:44 - THAISMAGALHAES | ID = 17309 | CI = 20492 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
08/05/2017 16:44 - THAISMAGALHAES | ID = 17310 | CI = 20492 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 105.20
09/05/2017 17:31 - LUISMOREIRA | ID =  | CI = 20530 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 106.70
12/05/2017 09:31 - FRANCISCO | ID =  | CI = 20569 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
12/05/2017 09:31 - FRANCISCO | ID =  | CI = 20569 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 94.89
12/05/2017 09:31 - FRANCISCO | ID =  | CI = 20569 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 120.00
12/05/2017 10:07 - FRANCISCO | ID =  | CI = 20571 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
12/05/2017 10:07 - FRANCISCO | ID =  | CI = 20571 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 231.80
12/05/2017 10:07 - FRANCISCO | ID =  | CI = 20571 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 23.00
12/05/2017 11:40 - ELTON | ID =  | CI = 20575 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 74.02
12/05/2017 11:40 - ELTON | ID =  | CI = 20575 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 42.90
12/05/2017 11:40 - ELTON | ID =  | CI = 20575 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 80.99
12/05/2017 11:40 - ELTON | ID =  | CI = 20575 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
15/05/2017 07:36 - MATHEUSRODRIGUES | ID =  | CI = 20580 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 43.40
15/05/2017 07:36 - MATHEUSRODRIGUES | ID =  | CI = 20580 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 86.50
15/05/2017 07:36 - MATHEUSRODRIGUES | ID =  | CI = 20580 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 121.77
15/05/2017 07:36 - MATHEUSRODRIGUES | ID =  | CI = 20580 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
15/05/2017 08:31 - OSVALDOFLORES | ID =  | CI = 20582 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 987.80
15/05/2017 08:31 - OSVALDOFLORES | ID =  | CI = 20582 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 177.20
15/05/2017 08:31 - OSVALDOFLORES | ID =  | CI = 20582 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 88.46
